window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
780,300,15,100,200,0,0.040736,0.053045,0.048763,344.51,2025-11-21T00:19:00.988760
780,300,15,500,200,0,0.009921,0.006885,0.008194,2025.98,2025-11-21T00:52:46.975463
780,300,15,1000,200,0,0.002521,0.004417,0.004127,4095.42,2025-11-21T02:01:02.403488
780,300,30,100,200,0,0.105536,0.156438,0.146310,179.23,2025-11-21T02:04:01.632982
780,300,30,500,200,0,0.026190,0.039672,0.036820,1000.04,2025-11-21T02:20:41.680385
780,300,30,1000,200,0,0.009027,0.011422,0.009924,2046.74,2025-11-21T02:54:48.421479
