window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
780,300,15,100,142,1,0.064892,0.106326,0.107075,323.33,2025-11-20T08:48:30.863981
780,300,15,500,219,1,0.002144,0.004207,0.003506,1913.41,2025-11-20T09:20:24.277827
780,300,15,1000,148,1,0.007589,0.005858,0.006452,3046.46,2025-11-20T10:11:10.745602
780,300,30,100,164,1,0.072396,0.101478,0.076018,180.38,2025-11-20T10:14:11.128856
780,300,30,500,121,1,0.033230,0.041135,0.037072,554.14,2025-11-20T10:23:25.271309
780,300,30,1000,245,1,0.002687,0.008378,0.006726,2557.22,2025-11-20T11:06:02.495477
