window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
780,300,15,100,200,0,0.033159,0.048999,0.043283,190.52,2025-11-20T23:57:23.210340
780,300,15,500,200,0,0.004053,0.006724,0.006237,936.54,2025-11-21T00:12:59.749548
780,300,15,1000,200,0,0.003104,0.004738,0.006484,1877.65,2025-11-21T00:44:17.406304
780,300,30,100,200,0,0.065363,0.073058,0.067556,81.55,2025-11-21T00:45:38.963458
780,300,30,500,200,0,0.016862,0.022274,0.021237,470.68,2025-11-21T00:53:29.648463
780,300,30,1000,200,0,0.006815,0.014347,0.015280,933.03,2025-11-21T01:09:02.683092
