window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
780,300,15,100,131,1,0.189615,0.181321,0.171350,93.64,2025-11-20T17:00:17.639081
780,300,15,500,253,1,0.038669,0.031611,0.043721,599.79,2025-11-20T17:10:17.433703
780,300,15,1000,300,0,0.017235,0.022933,0.025887,1289.44,2025-11-20T17:31:46.872836
780,300,30,100,142,1,0.249696,0.285570,0.340753,51.49,2025-11-20T17:32:38.364825
780,300,30,500,182,1,0.425107,0.541217,0.489394,232.04,2025-11-20T17:36:30.403327
780,300,30,1000,224,1,0.057951,0.050783,0.047367,503.83,2025-11-20T17:44:54.239131
