window_size_minutes,pred_size_minutes,stride,k,epochs_trained,early_stopped,train_loss,val_loss,test_loss,training_time_s,timestamp
780,300,15,100,200,0,0.061113,0.057779,0.054530,342.43,2025-11-21T00:18:26.372157
780,300,15,500,200,0,0.016988,0.016494,0.014472,1949.38,2025-11-21T00:50:55.757812
780,300,15,1000,200,0,0.004645,0.005039,0.005361,3920.69,2025-11-21T01:56:16.454506
780,300,30,100,200,0,0.100198,0.101534,0.086477,175.23,2025-11-21T01:59:11.688617
780,300,30,500,200,0,0.044749,0.042966,0.045920,976.78,2025-11-21T02:15:28.475021
780,300,30,1000,200,0,0.013762,0.015463,0.015722,1992.56,2025-11-21T02:48:41.040526
